matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3029021253,49341,58330,3,9,0,1,3,1,0,1,1
BR1_3029003643,55321,43797,7,3,1,0,1,2,1,0,0
BR1_3028964249,67292,56340,11,2,4,0,2,2,1,0,0
BR1_3028841496,67499,53963,9,5,1,0,1,1,1,0,0
BR1_3028463685,73101,62035,11,4,4,0,3,1,2,0,0
BR1_3028338041,71408,66927,9,4,2,0,4,0,2,0,0
BR1_3028314582,49026,37721,8,0,1,0,3,0,1,0,0
BR1_3028175352,41677,53622,2,9,0,1,0,3,0,1,1
BR1_3027971439,38466,51079,3,9,0,2,0,3,0,1,1
BR1_3027941566,52808,62390,4,10,1,2,1,2,0,1,1
BR1_3027865801,96834,93763,9,10,2,2,3,4,3,0,1
BR1_3027801070,58885,49308,11,1,3,0,1,2,1,0,0
BR1_3027754645,67734,57620,8,5,1,0,1,0,1,0,0
BR1_3030284879,65754,57051,11,2,5,0,1,0,2,0,0
BR1_3030214552,71808,74376,7,8,1,1,1,4,0,2,1
BR1_3030187466,72924,75314,8,10,2,2,2,3,1,1,1
BR1_3029669654,46314,56103,4,8,0,1,0,3,0,1,1
BR1_3029632277,78236,74169,11,5,4,0,5,1,1,2,0
BR1_3029599519,56839,52934,9,4,2,0,1,2,1,0,0
BR1_3029584177,36002,50005,1,10,0,2,1,0,0,0,1
BR1_3029105372,50308,61107,3,11,0,2,0,4,0,1,1
BR1_3029079714,44588,51232,3,8,0,1,1,1,0,1,1
BR1_3029064496,47389,56425,3,8,0,2,0,3,0,1,1
BR1_3029036272,46381,36906,9,1,1,0,0,2,0,0,0
BR1_3027282300,68274,61455,9,6,1,0,2,2,2,0,0
BR1_3027213259,66737,54334,10,0,2,0,2,0,1,0,0
BR1_3027188465,57157,48083,11,2,3,0,0,1,1,0,0
